id_venda;id_pedido;id_produto;id_cliente;id_loja;data_pedido;quantidade;preco_unitario;valor_desconto;custo_frete;status_pedido;metodo_pagamento;nota_fiscal;nome_produto;categoria_produto;subcategoria_produto;preco_custo;preco_venda;peso_kg;fornecedor_id;nome_fornecedor;data_cadastro_produto;em_estoque;nome_cliente;email_cliente;telefone_cliente;data_cadastro_cliente;segmento_cliente;cidade_cliente;estado_cliente;nome_loja;endereco_loja;cidade_loja;estado_loja;regiao_loja;gerente_loja;data_inauguracao;tipo_loja
234;36;16;39;8;27/06/2023;2.0;888.39;53.3;17.34;Concluído;Boleto;NF-99367;Produto 16;Móveis;Armários;211.9;854.75;40.13;2;Fornecedor 7;31/05/2023;True;Cliente 39;cliente39@email.com;(11) 95155-8478;16/01/2022;Varejo;Belo Horizonte;RJ;Loja 8;Endereço da Loja 8;Porto Alegre;RS;Sudeste;Gerente 8;14/04/2019;Rua
235;19;23;23;1;30/06/2023;7.0;193.4;324.91;20.24;Concluído;Dinheiro;NF-81185;Produto 23;Livros;Ficção;44.07;199.75;29.44;13;Fornecedor 6;17/01/2022;False;Cliente 23;cliente23@email.com;(11) 98799-9804;03/02/2022;Varejo;Porto Alegre;SP;Loja 1;Endereço da Loja 1;Rio de Janeiro;RJ;Sul;Gerente 1;21/04/2017;Shopping
236;21;74;30;1;27/06/2023;4.0;169.31;40.63;27.39;Concluído;Cartão de Crédito;NF-38251;Produto 74;Livros;Infantis;156.02;177.17;33.24;6;Fornecedor 3;13/04/2022;True;Cliente 30;cliente30@email.com;(11) 95864-2221;28/10/2022;Premium;Rio de Janeiro;PE;Loja 1;Endereço da Loja 1;Belo Horizonte;MG;Sul;Gerente 1;18/02/2018;Rua
237;27;14;29;1;25/01/2023;4.0;198.87;63.64;36.61;Concluído;Dinheiro;NF-19107;Produto 14;Móveis;Mesas;217.3;197.1;36.46;6;Fornecedor 3;22/02/2022;True;Cliente 29;cliente29@email.com;(11) 94870-6085;28/03/2022;Corporativo;Belo Horizonte;RS;Loja 1;Endereço da Loja 1;Porto Alegre;RS;Sul;Gerente 1;19/02/2016;Shopping
238;37;43;26;4;28/02/2023;3.0;540.61;178.4;9.88;Em processamento;Cartão de Crédito;NF-46113;Produto 43;Livros;Autoajuda;379.37;544.27;8.49;2;Fornecedor 14;28/04/2022;True;Cliente 26;cliente26@email.com;(11) 94554-8095;16/03/2022;Corporativo;São Paulo;PE;Loja 4;Endereço da Loja 4;Porto Alegre;RS;Sul;Gerente 4;04/11/2017;Rua
239;35;83;23;5;11/04/2023;5.0;23.85;2.39;33.16;Concluído;Pix;NF-36849;Produto 83;Livros;Biografias;461.97;25.69;44.29;14;Fornecedor 3;31/01/2023;True;Cliente 23;cliente23@email.com;(11) 96356-2857;15/09/2022;Varejo;Recife;SP;Loja 5;Endereço da Loja 5;Porto Alegre;RS;Sul;Gerente 5;12/02/2019;Shopping
240;38;7;6;8;24/12/2023;2.0;28.09;0.0;33.74;Concluído;Boleto;NF-10555;Produto 7;Alimentos;Congelados;124.33;25.54;4.77;11;;15/01/2023;True;Cliente 6;cliente6@email.com;(11) 98637-5841;12/06/2022;Premium;Porto Alegre;PE;Loja 8;Endereço da Loja 8;Belo Horizonte;MG;Sul;Gerente 8;01/12/2017;Shopping
241;33;28;8;6;01/11/2023;2.0;736.23;161.97;21.8;Concluído;Boleto;NF-29462;Produto 28;Roupas;Calças;161.2;791.06;35.39;12;Fornecedor 7;09/07/2022;True;Cliente 8;cliente8@email.com;(11) 95581-6609;30/12/2022;Corporativo;São Paulo;RS;Loja 6;Endereço da Loja 6;Recife;PE;Sudeste;Gerente 6;05/05/2018;Centro Comercial
242;19;67;11;7;27/02/2023;9.0;176.18;285.41;12.51;Concluído;Dinheiro;NF-75131;Produto 67;Alimentos;Carnes;486.18;167.57;27.89;7;Fornecedor 7;01/12/2022;True;Cliente 11;cliente11@email.com;(11) 96193-2214;20/11/2022;Premium;Belo Horizonte;MG;Loja 7;Endereço da Loja 7;Recife;PE;Nordeste;Gerente 7;26/11/2019;Rua
243;2;28;10;6;23/07/2023;6.0;239.55;143.73;45.48;Em processamento;Boleto;NF-67089;Produto 28;Livros;Infantis;418.96;223.31;22.69;10;Fornecedor 2;24/08/2022;True;Cliente 10;cliente10@email.com;(11) 96988-2888;21/04/2022;Premium;Porto Alegre;PE;Loja 6;Endereço da Loja 6;Belo Horizonte;MG;Sudeste;Gerente 6;24/05/2016;Shopping
244;20;40;34;8;30/08/2023;9.0;927.04;1668.67;36.6;Concluído;Boleto;NF-69055;Produto 40;Livros;Ficção;218.9;966.92;22.19;11;Fornecedor 3;15/07/2023;True;Cliente 34;cliente34@email.com;(11) 93869-2242;14/12/2022;Varejo;Rio de Janeiro;RS;Loja 8;Endereço da Loja 8;Belo Horizonte;MG;Sul;Gerente 8;02/04/2020;Centro Comercial
245;39;17;33;5;05/09/2023;3.0;323.9;155.47;21.17;Concluído;Boleto;NF-10968;Produto 17;Eletrônicos;TVs;365.57;323.29;47.54;3;Fornecedor 11;12/01/2022;False;Cliente 33;cliente33@email.com;(11) 99880-2469;28/04/2022;Varejo;Porto Alegre;PE;Loja 5;Endereço da Loja 5;Rio de Janeiro;RJ;Sudeste;Gerente 5;03/04/2017;Shopping
246;11;1;13;6;13/08/2023;7.0;255.92;17.91;30.62;Em processamento;Dinheiro;NF-35032;Produto 1;Alimentos;Cereais;146.71;254.99;22.96;13;Fornecedor 13;15/03/2023;True;Cliente 13;cliente13@email.com;(11) 99536-3711;25/05/2022;Premium;Rio de Janeiro;PE;Loja 6;Endereço da Loja 6;Belo Horizonte;MG;Nordeste;Gerente 6;21/01/2018;Centro Comercial
247;13;28;33;5;26/03/2023;5.0;556.06;750.68;32.02;Concluído;Cartão de Crédito;NF-67442;Produto 28;Alimentos;Bebidas;317.9;508.48;44.61;7;Fornecedor 6;25/04/2023;True;Cliente 33;cliente33@email.com;(11) 94620-4190;27/03/2022;Corporativo;São Paulo;RS;Loja 5;Endereço da Loja 5;São Paulo;SP;Nordeste;Gerente 5;05/08/2018;Rua
248;20;81;48;10;16/01/2023;1.0;519.35;83.1;6.06;Concluído;Cartão de Crédito;NF-80248;Produto 81;Móveis;Armários;142.56;503.21;37.43;15;Fornecedor 12;20/03/2023;False;Cliente 48;cliente48@email.com;(11) 96008-7222;14/03/2022;Premium;Rio de Janeiro;RS;Loja 10;Endereço da Loja 10;Recife;PE;Sudeste;Gerente 10;20/06/2019;Centro Comercial
249;8;89;34;8;11/12/2023;4.0;152.39;170.68;44.67;Concluído;Dinheiro;NF-43349;Produto 89;Móveis;Mesas;444.28;145.93;28.15;5;Fornecedor 7;11/10/2023;False;Cliente 34;cliente34@email.com;(11) 93268-1975;15/02/2022;Corporativo;Belo Horizonte;RS;Loja 8;Endereço da Loja 8;São Paulo;SP;Sul;Gerente 8;19/09/2018;Shopping
250;23;39;33;6;15/02/2023;8.0;587.48;845.97;23.26;Concluído;Boleto;NF-11067;Produto 39;Livros;Técnicos;499.74;626.15;34.59;14;Fornecedor 1;29/01/2023;True;Cliente 33;cliente33@email.com;(11) 95607-4985;14/02/2022;Premium;Porto Alegre;MG;Loja 6;Endereço da Loja 6;Porto Alegre;RS;Sul;Gerente 6;18/03/2016;Rua
251;36;62;10;6;23/12/2023;1.0;610.72;97.72;10.71;Concluído;Boleto;NF-85956;Produto 62;Roupas;Camisetas;384.34;661.37;31.17;3;Fornecedor 15;19/09/2022;True;Cliente 10;cliente10@email.com;(11) 93739-5784;25/08/2022;Premium;Rio de Janeiro;SP;Loja 6;Endereço da Loja 6;Belo Horizonte;MG;Sudeste;Gerente 6;18/02/2015;Rua
252;7;36;7;10;07/10/2023;9.0;382.57;826.35;39.72;Em processamento;Pix;NF-48889;Produto 36;Livros;Autoajuda;446.2;417.22;46.17;8;Fornecedor 1;31/01/2023;True;Cliente 7;cliente7@email.com;(11) 98869-3956;31/01/2022;Premium;Rio de Janeiro;SP;Loja 10;Endereço da Loja 10;São Paulo;SP;Sudeste;Gerente 10;23/10/2020;Rua
253;40;34;39;5;18/03/2023;5.0;970.68;1310.42;46.68;Concluído;Pix;NF-79586;Produto 34;Alimentos;Bebidas;238.49;960.19;33.5;13;Fornecedor 11;25/12/2022;True;Cliente 39;cliente39@email.com;(11) 92721-2349;23/04/2022;Varejo;São Paulo;PE;Loja 5;Endereço da Loja 5;São Paulo;SP;Sudeste;Gerente 5;16/05/2019;Centro Comercial
254;37;92;6;10;06/12/2023;1.0;608.88;140.04;37.09;Concluído;Pix;NF-71293;Produto 92;Eletrônicos;Smartphones;349.7;675.26;37.77;5;Fornecedor 10;19/10/2023;True;Cliente 6;cliente6@email.com;(11) 98320-9705;08/12/2022;Corporativo;Recife;RS;Loja 10;Endereço da Loja 10;Porto Alegre;RS;Nordeste;Gerente 10;27/08/2019;Shopping
255;41;6;25;7;03/12/2023;5.0;429.88;537.35;7.7;Concluído;Dinheiro;NF-64615;Produto 6;Alimentos;Cereais;282.26;392.6;25.2;3;Fornecedor 1;07/03/2022;True;Cliente 25;cliente25@email.com;(11) 94273-6781;15/02/2022;Corporativo;São Paulo;MG;Loja 7;Endereço da Loja 7;Porto Alegre;RS;Sudeste;Gerente 7;28/12/2020;Rua
256;14;33;14;3;12/01/2023;1.0;358.8;61.0;47.5;Concluído;Cartão de Crédito;NF-15752;Produto 33;Livros;Técnicos;128.69;362.69;23.79;10;Fornecedor 11;30/03/2023;False;Cliente 14;cliente14@email.com;(11) 93934-1022;04/06/2022;Premium;Rio de Janeiro;SP;Loja 3;Endereço da Loja 3;São Paulo;SP;Sul;Gerente 3;18/01/2017;Centro Comercial
257;35;37;15;8;16/04/2023;1.0;220.89;11.04;41.35;Concluído;Boleto;NF-45825;Produto 37;Eletrônicos;Notebooks;365.6;207.67;35.01;11;Fornecedor 4;18/07/2023;True;Cliente 15;cliente15@email.com;(11) 96260-5409;03/07/2022;Corporativo;São Paulo;PE;Loja 8;Endereço da Loja 8;Belo Horizonte;MG;Sul;Gerente 8;28/09/2015;Shopping
258;42;3;45;6;23/03/2023;4.0;493.38;256.56;31.35;Concluído;Pix;NF-57013;Produto 3;Roupas;Vestidos;49.8;502.55;3.37;5;Fornecedor 11;06/03/2022;True;Cliente 45;cliente45@email.com;(11) 95864-3514;01/08/2022;Corporativo;Porto Alegre;PE;Loja 6;Endereço da Loja 6;São Paulo;SP;Sul;Gerente 6;15/04/2016;Rua
259;43;21;30;1;17/12/2023;7.0;171.97;228.72;16.39;Concluído;Dinheiro;NF-59573;Produto 21;Alimentos;Congelados;373.5;160.46;32.81;1;Fornecedor 11;12/06/2022;True;Cliente 30;cliente30@email.com;(11) 98332-5944;05/07/2022;Corporativo;Rio de Janeiro;RS;Loja 1;Endereço da Loja 1;Porto Alegre;RS;Sudeste;Gerente 1;01/08/2018;Centro Comercial
260;42;43;12;10;10/05/2023;1.0;816.48;179.63;22.05;Concluído;Boleto;NF-26493;Produto 43;Roupas;Jaquetas;400.48;805.01;40.92;9;Fornecedor 4;19/07/2023;True;Cliente 12;cliente12@email.com;(11) 92915-1556;15/04/2022;Premium;Rio de Janeiro;RS;Loja 10;Endereço da Loja 10;Rio de Janeiro;RJ;Sul;Gerente 10;23/05/2017;Centro Comercial
261;37;43;16;1;05/05/2023;1.0;254.97;61.19;5.78;Concluído;Boleto;NF-55853;Produto 43;Eletrônicos;Tablets;354.15;251.2;23.76;12;Fornecedor 2;29/12/2022;False;Cliente 16;cliente16@email.com;(11) 92667-3691;18/03/2022;Varejo;São Paulo;PE;Loja 1;Endereço da Loja 1;Belo Horizonte;MG;Sudeste;Gerente 1;26/11/2018;Centro Comercial
262;9;88;35;7;07/07/2023;3.0;777.48;209.92;30.1;Concluído;Pix;NF-80199;Produto 88;Móveis;Sofás;383.3;792.07;0.17;9;Fornecedor 11;09/09/2023;True;Cliente 35;cliente35@email.com;(11) 94262-3107;01/11/2022;Varejo;São Paulo;MG;Loja 7;Endereço da Loja 7;Recife;PE;Sul;Gerente 7;04/08/2016;Shopping
263;44;37;36;8;23/07/2023;3.0;540.19;356.53;25.4;Cancelado;Boleto;NF-44470;Produto 37;Móveis;Sofás;274.29;564.2;17.82;7;Fornecedor 5;06/03/2022;True;Cliente 36;cliente36@email.com;(11) 97331-7035;18/05/2022;Varejo;São Paulo;RJ;Loja 8;Endereço da Loja 8;Rio de Janeiro;RJ;Sudeste;Gerente 8;20/04/2015;Rua
264;23;48;20;1;19/04/2023;1.0;341.45;6.83;9.97;Concluído;Pix;NF-65612;Produto 48;Eletrônicos;Notebooks;208.09;339.63;21.72;15;Fornecedor 1;10/05/2023;False;Cliente 20;cliente20@email.com;(11) 97458-3756;17/07/2022;Varejo;São Paulo;MG;Loja 1;Endereço da Loja 1;Recife;PE;Nordeste;Gerente 1;13/07/2016;Shopping
265;30;73;25;9;05/10/2023;6.0;511.4;61.37;28.29;Concluído;Cartão de Crédito;NF-19972;Produto 73;Móveis;Camas;32.08;540.12;14.57;2;Fornecedor 13;11/06/2023;True;Cliente 25;cliente25@email.com;(11) 94401-4185;27/05/2022;Premium;Belo Horizonte;MG;Loja 9;Endereço da Loja 9;Porto Alegre;RS;Sul;Gerente 9;26/10/2015;Rua
266;6;20;34;9;30/11/2023;4.0;682.55;764.46;45.88;Concluído;Cartão de Crédito;NF-44629;Produto 20;Alimentos;Cereais;297.72;722.01;16.42;11;Fornecedor 14;02/06/2022;False;Cliente 34;cliente34@email.com;(11) 96247-2734;03/06/2022;Corporativo;São Paulo;MG;Loja 9;Endereço da Loja 9;Belo Horizonte;MG;Nordeste;Gerente 9;11/04/2019;Rua
267;31;42;2;9;26/03/2023;6.0;385.24;208.03;26.52;Concluído;Boleto;NF-65673;Produto 42;Eletrônicos;TVs;155.17;398.91;13.35;9;Fornecedor 1;26/11/2022;True;Cliente 2;cliente2@email.com;(11) 95477-3185;27/11/2022;Corporativo;Porto Alegre;PE;Loja 9;Endereço da Loja 9;Porto Alegre;RS;Sudeste;Gerente 9;25/03/2016;Centro Comercial
268;42;75;47;2;05/07/2023;2.0;916.15;128.26;13.98;Concluído;Pix;NF-10002;Produto 75;Livros;Ficção;450.88;930.71;13.2;15;Fornecedor 6;10/04/2023;True;Cliente 47;cliente47@email.com;(11) 96773-3568;09/07/2022;Corporativo;Recife;RS;Loja 2;Endereço da Loja 2;São Paulo;SP;Sul;Gerente 2;08/07/2020;Centro Comercial
269;4;11;8;8;19/05/2023;9.0;376.71;271.23;37.49;Em processamento;Boleto;NF-71260;Produto 11;Alimentos;Bebidas;325.99;385.8;25.63;10;Fornecedor 3;29/03/2022;False;Cliente 8;cliente8@email.com;(11) 94148-1244;07/03/2022;Premium;Rio de Janeiro;PE;Loja 8;Endereço da Loja 8;Porto Alegre;RS;Nordeste;Gerente 8;03/10/2019;Shopping
270;20;97;24;2;16/01/2023;5.0;285.13;156.82;27.9;Concluído;Boleto;NF-21595;Produto 97;Livros;Biografias;40.83;297.46;32.14;15;Fornecedor 12;25/05/2023;True;Cliente 24;cliente24@email.com;(11) 95701-3877;18/07/2022;Corporativo;Porto Alegre;RJ;Loja 2;Endereço da Loja 2;São Paulo;SP;Nordeste;Gerente 2;11/07/2016;Centro Comercial
271;33;64;25;8;24/11/2023;9.0;801.51;1803.4;18.64;Concluído;Cartão de Crédito;NF-15295;Produto 64;Eletrônicos;TVs;220.84;751.19;42.75;13;Fornecedor 15;06/12/2023;True;Cliente 25;cliente25@email.com;(11) 96221-9529;08/03/2022;Corporativo;Rio de Janeiro;SP;Loja 8;Endereço da Loja 8;São Paulo;SP;Nordeste;Gerente 8;19/02/2019;Rua
272;12;65;7;9;07/06/2023;4.0;791.07;0.0;12.5;Concluído;Pix;NF-12810;Produto 65;Roupas;Camisetas;97.45;832.93;43.3;9;Fornecedor 13;21/02/2022;True;Cliente 7;cliente7@email.com;(11) 94683-8872;10/07/2022;Premium;Belo Horizonte;SP;Loja 9;Endereço da Loja 9;Recife;PE;Nordeste;Gerente 9;14/10/2016;Centro Comercial
273;11;40;24;9;20/05/2023;2.0;682.4;68.24;43.83;Concluído;Cartão de Crédito;NF-15912;Produto 40;Livros;Infantis;367.69;620.72;25.34;9;Fornecedor 14;02/11/2022;False;Cliente 24;cliente24@email.com;(11) 98522-5784;14/01/2022;Premium;São Paulo;SP;Loja 9;Endereço da Loja 9;Rio de Janeiro;RJ;Sul;Gerente 9;08/10/2015;Shopping
274;26;59;9;2;05/07/2023;9.0;515.01;741.61;35.47;Concluído;Dinheiro;NF-49534;Produto 59;Livros;Autoajuda;154.83;473.07;30.09;3;Fornecedor 8;22/02/2023;True;Cliente 9;cliente9@email.com;(11) 93402-1496;24/11/2022;Corporativo;Porto Alegre;RS;Loja 2;Endereço da Loja 2;São Paulo;SP;Sul;Gerente 2;28/06/2017;Rua
275;32;63;32;1;07/26/2023;2.0;69.7;1.39;34.43;Concluído;Pix;NF-61977;Produto 63;Livros;Técnicos;403.78;67.69;4.38;12;Fornecedor 9;21/02/2022;True;Cliente 32;cliente32@email.com;(11) 97720-4088;17/12/2022;Varejo;Porto Alegre;RJ;Loja 1;Endereço da Loja 1;Rio de Janeiro;RJ;Sudeste;Gerente 1;29/01/2020;Centro Comercial
276;41;93;14;10;23/09/2023;7.0;343.04;144.08;9.73;Concluído;Cartão de Crédito;NF-87924;Produto 93;Móveis;Sofás;484.03;328.33;45.41;4;Fornecedor 15;28/01/2023;True;Cliente 14;cliente14@email.com;(11) 99283-1446;19/04/2022;Premium;Recife;RS;Loja 10;Endereço da Loja 10;Porto Alegre;RS;Nordeste;Gerente 10;27/04/2020;Centro Comercial
277;8;51;49;2;22/11/2023;7.0;83.97;0.0;46.3;Concluído;Pix;NF-81494;Produto 51;Móveis;Mesas;243.59;79.76;36.84;10;Fornecedor 3;17/12/2022;True;Cliente 49;cliente49@email.com;(11) 94960-2186;28/09/2022;Varejo;Recife;PE;Loja 2;Endereço da Loja 2;Belo Horizonte;MG;Sul;Gerente 2;19/12/2015;Centro Comercial
278;9;32;34;3;23/12/2023;4.0;1007.0;483.36;33.31;Concluído;Cartão de Crédito;NF-12015;Produto 32;Alimentos;Bebidas;56.46;962.74;2.69;8;Fornecedor 11;11/12/2023;True;Cliente 34;cliente34@email.com;(11) 92879-6372;13/01/2022;Premium;Belo Horizonte;RS;Loja 3;Endereço da Loja 3;Belo Horizonte;MG;Sul;Gerente 3;10/12/2017;Centro Comercial
279;44;19;45;8;02/03/2023;4.0;103.96;116.44;31.67;Concluído;Cartão de Crédito;NF-39381;Produto 19;Livros;Infantis;181.41;109.94;30.29;3;Fornecedor 11;24/08/2023;True;Cliente 45;cliente45@email.com;(11) 96308-8407;25/12/2022;Corporativo;Belo Horizonte;RS;Loja 8;Endereço da Loja 8;Rio de Janeiro;RJ;Sul;Gerente 8;19/03/2017;Shopping
280;45;37;39;6;11/08/2023;7.0;672.88;612.32;47.46;Em processamento;Pix;NF-92215;Produto 37;Roupas;Calças;368.48;639.58;42.73;9;Fornecedor 4;22/07/2022;True;Cliente 39;cliente39@email.com;(11) 98952-1986;16/02/2022;Corporativo;São Paulo;PE;Loja 6;Endereço da Loja 6;São Paulo;SP;Sudeste;Gerente 6;25/06/2017;Centro Comercial
281;31;90;46;1;05/06/2023;9.0;121.61;284.57;34.79;Concluído;Dinheiro;NF-60893;Produto 90;Alimentos;Cereais;430.37;118.92;45.29;7;Fornecedor 4;18/09/2023;True;Cliente 46;cliente46@email.com;(11) 99282-7310;26/07/2022;Corporativo;Rio de Janeiro;SP;Loja 1;Endereço da Loja 1;Recife;PE;Nordeste;Gerente 1;26/03/2020;Rua
282;46;4;22;10;21/04/2023;5.0;269.6;107.84;13.57;Concluído;Cartão de Crédito;NF-67911;Produto 4;Livros;Ficção;457.6;272.63;37.27;5;Fornecedor 15;02/10/2023;True;Cliente 22;cliente22@email.com;(11) 95537-3335;14/08/2022;Premium;Rio de Janeiro;RJ;Loja 10;Endereço da Loja 10;Belo Horizonte;MG;Sul;Gerente 10;12/05/2016;Shopping
283;37;81;33;9;24/10/2023;9.0;1001.58;811.28;47.68;Em processamento;Cartão de Crédito;NF-60903;Produto 81;Livros;Biografias;382.98;992.67;3.99;9;Fornecedor 1;14/09/2022;True;Cliente 33;cliente33@email.com;(11) 97889-3096;27/05/2022;Corporativo;Porto Alegre;MG;Loja 9;Endereço da Loja 9;Rio de Janeiro;RJ;Sudeste;Gerente 9;09/03/2016;Centro Comercial
284;4;2;17;4;27/06/2023;5.0;308.29;246.63;18.65;Concluído;Boleto;NF-84519;Produto 2;ELETRÔNICOS;Smartphones;218.01;281.96;49.47;6;Fornecedor 14;06/03/2022;True;Cliente 17;cliente17@email.com;(11) 91712-6845;23/07/2022;Varejo;São Paulo;SP;Loja 4;Endereço da Loja 4;Rio de Janeiro;RJ;Nordeste;Gerente 4;08/02/2019;Centro Comercial
285;46;61;31;9;07/12/2023;7.0;721.1;302.86;48.23;Concluído;Dinheiro;NF-37939;Produto 61;Roupas;Vestidos;372.7;664.98;41.5;7;Fornecedor 15;17/01/2022;True;Cliente 31;cliente31@email.com;(11) 98069-4810;27/12/2022;Premium;Recife;MG;Loja 9;Endereço da Loja 9;Belo Horizonte;MG;Sudeste;Gerente 9;29/05/2017;Centro Comercial
286;47;27;21;9;03/06/2023;6.0;177.58;74.58;17.13;Concluído;Pix;NF-18080;Produto 27;Livros;Ficção;11.69;170.55;36.61;5;Fornecedor 13;11/10/2023;True;Cliente 21;cliente21@email.com;(11) 92025-8785;30/12/2022;Corporativo;Belo Horizonte;RJ;Loja 9;Endereço da Loja 9;Porto Alegre;RS;Nordeste;Gerente 9;23/01/2020;Rua
287;11;81;19;6;31/01/2023;1.0;740.82;7.41;20.69;Concluído;Pix;NF-46860;Produto 81;Roupas;Jaquetas;129.24;686.6;9.24;14;Fornecedor 15;19/12/2023;True;Cliente 19;cliente19@email.com;(11) 93666-9655;02/10/2022;Varejo;São Paulo;MG;Loja 6;Endereço da Loja 6;Rio de Janeiro;RJ;Sudeste;Gerente 6;21/12/2020;Centro Comercial
288;17;49;5;4;31/03/2023;4.0;157.34;50.35;42.13;Concluído;Boleto;NF-19386;Produto 49;Eletrônicos;Notebooks;314.86;159.04;15.31;13;Fornecedor 1;27/10/2022;True;Cliente 5;cliente5@email.com;(11) 95927-4022;21/11/2022;Premium;Porto Alegre;RJ;Loja 4;Endereço da Loja 4;Belo Horizonte;MG;Nordeste;Gerente 4;06/09/2020;Rua
289;31;53;44;10;28/02/2023;1.0;574.08;34.44;15.24;Concluído;Cartão de Crédito;NF-84716;Produto 53;Alimentos;Bebidas;279.38;531.88;32.0;4;Fornecedor 1;21/02/2023;True;Cliente 44;cliente44@email.com;(11) 95482-8400;31/05/2022;Premium;Porto Alegre;PE;Loja 10;Endereço da Loja 10;Rio de Janeiro;RJ;Nordeste;Gerente 10;25/10/2019;Rua
290;19;85;11;7;23/06/2023;1.0;727.22;130.9;6.81;Em processamento;Cartão de Crédito;NF-96348;Produto 85;Móveis;Sofás;232.03;680.21;43.44;12;Fornecedor 7;03/11/2022;True;Cliente 11;cliente11@email.com;(11) 97468-6790;21/03/2022;Varejo;São Paulo;SP;Loja 7;Endereço da Loja 7;Porto Alegre;RS;Nordeste;Gerente 7;07/05/2019;Shopping
291;13;10;50;1;13/08/2023;2.0;445.11;258.16;31.97;Em processamento;Dinheiro;NF-45518;Produto 10;Móveis;Sofás;436.42;452.27;19.92;13;Fornecedor 7;13/10/2022;True;Cliente 50;cliente50@email.com;(11) 92631-7452;20/09/2022;Corporativo;São Paulo;PE;Loja 1;Endereço da Loja 1;Porto Alegre;RS;Nordeste;Gerente 1;10/02/2018;Centro Comercial
292;26;92;5;2;10/06/2023;1.0;;63.75;27.22;Cancelado;Boleto;NF-15206;Produto 92;Livros;Biografias;255.64;971.8;24.47;15;Fornecedor 4;11/02/2022;True;Cliente 5;cliente5@email.com;(11) 93888-3690;25/04/2022;Corporativo;Rio de Janeiro;SP;Loja 2;Endereço da Loja 2;Rio de Janeiro;RJ;Sul;Gerente 2;23/11/2020;Shopping
293;11;51;24;2;26/03/2023;7.0;553.65;968.89;42.38;Concluído;Cartão de Crédito;NF-28157;Produto 51;Móveis;Camas;308.28;589.52;20.95;9;Fornecedor 10;22/11/2022;True;Cliente 24;cliente24@email.com;(11) 95184-9899;16/12/2022;Varejo;Porto Alegre;MG;Loja 2;Endereço da Loja 2;Recife;PE;Nordeste;Gerente 2;04/11/2020;Shopping
294;4;51;17;5;08/12/2023;8.0;776.22;1179.85;20.73;Concluído;Cartão de Crédito;NF-62234;Produto 51;Móveis;Mesas;252.79;857.03;46.0;9;Fornecedor 6;01/12/2023;True;Cliente 17;cliente17@email.com;(11) 96138-1544;10/01/2022;Premium;Porto Alegre;MG;Loja 5;Endereço da Loja 5;Recife;PE;Sudeste;Gerente 5;07/04/2015;Shopping
295;12;19;44;8;06/01/2023;9.0;756.78;1498.42;45.26;Concluído;Pix;NF-60613;Produto 19;Livros;Ficção;339.62;708.6;10.55;3;Fornecedor 10;25/01/2022;True;Cliente 44;cliente44@email.com;(11) 95775-4409;27/06/2022;Varejo;Recife;SP;Loja 8;Endereço da Loja 8;Rio de Janeiro;RJ;Sudeste;Gerente 8;15/03/2018;Centro Comercial
296;27;57;32;6;11/12/2023;8.0;920.7;220.97;37.83;Concluído;Boleto;NF-19777;Produto 57;Eletrônicos;Tablets;151.43;889.33;18.71;9;Fornecedor 9;23/12/2023;False;Cliente 32;cliente32@email.com;(11) 97182-9026;10/04/2022;Corporativo;Recife;SP;Loja 6;Endereço da Loja 6;Belo Horizonte;MG;Sudeste;Gerente 6;15/10/2020;Shopping
297;48;69;10;9;13/09/2023;1.0;;3.96;19.38;Concluído;Dinheiro;NF-21441;Produto 69;Roupas;Calças;313.54;65.77;7.46;6;Fornecedor 11;10/10/2023;True;Cliente 10;cliente10@email.com;(11) 98632-7403;05/04/2022;Varejo;Recife;SP;Loja 9;Endereço da Loja 9;Rio de Janeiro;RJ;Nordeste;Gerente 9;29/03/2020;Shopping
298;13;7;25;5;15/10/2023;8.0;365.96;468.43;31.0;Concluído;Cartão de Crédito;NF-78684;Produto 7;Livros;Autoajuda;252.68;363.94;13.42;8;Fornecedor 3;02/08/2023;True;Cliente 25;cliente25@email.com;(11) 93210-8399;14/07/2022;Premium;Recife;RJ;Loja 5;Endereço da Loja 5;Rio de Janeiro;RJ;Sul;Gerente 5;02/03/2016;Shopping
299;45;60;19;4;31/03/2023;4.0;840.76;706.24;9.5;Concluído;Pix;NF-27165;Produto 60;Eletrônicos;Áudio;40.82;882.29;34.77;7;Fornecedor 4;05/12/2022;True;Cliente 19;cliente19@email.com;(11) 95995-2501;30/07/2022;Premium;São Paulo;PE;Loja 4;Endereço da Loja 4;Belo Horizonte;MG;Nordeste;Gerente 4;05/01/2018;Shopping
300;19;78;27;10;14/09/2023;8.0;880.06;1196.88;46.78;Concluído;Pix;NF-61786;Produto 78;Alimentos;Carnes;40.83;954.59;35.41;3;Fornecedor 11;07/07/2022;True;Cliente 27;cliente27@email.com;(11) 96955-2160;12/12/2022;Corporativo;Rio de Janeiro;PE;Loja 10;Endereço da Loja 10;Rio de Janeiro;RJ;Sudeste;Gerente 10;24/08/2016;Shopping
301;41;59;44;8;08/10/2023;4.0;179.15;64.49;34.81;Concluído;Cartão de Crédito;NF-80819;Produto 59;Roupas;Jaquetas;292.02;170.89;6.5;12;Fornecedor 6;21/02/2023;True;Cliente 44;cliente44@email.com;(11) 96137-6189;04/12/2022;Varejo;Porto Alegre;PE;Loja 8;Endereço da Loja 8;Rio de Janeiro;RJ;Nordeste;Gerente 8;13/07/2019;Centro Comercial
